날짜,이산화질소
2022-04-01 01,.014
2022-04-01 02,.011
2022-04-01 03,.015
2022-04-01 04,.009
2022-04-01 05,.014
2022-04-01 06,.015
2022-04-01 07,.024
2022-04-01 08,.024
2022-04-01 09,.028
2022-04-01 10,.019
2022-04-01 11,.015
2022-04-01 12,.016
2022-04-01 13,.011
2022-04-01 14,.01
2022-04-01 15,.012
2022-04-01 16,.017
2022-04-01 17,.015
2022-04-01 18,.014
2022-04-01 19,.019
2022-04-01 20,.022
2022-04-01 21,.024
2022-04-01 22,.018
2022-04-01 23,.022
2022-04-01 24,.029
2022-04-02 01,.024
2022-04-02 02,.022
2022-04-02 03,.027
2022-04-02 04,.032
2022-04-02 05,.02
2022-04-02 06,.017
2022-04-02 07,.022
2022-04-02 08,.019
2022-04-02 09,.022
2022-04-02 10,.018
2022-04-02 11,.019
2022-04-02 12,.019
2022-04-02 13,.014
2022-04-02 14,.015
2022-04-02 15,.017
2022-04-02 16,.017
2022-04-02 17,.015
2022-04-02 18,.014
2022-04-02 19,.02
2022-04-02 20,.017
2022-04-02 21,.022
2022-04-02 22,.025
2022-04-02 23,.025
2022-04-02 24,.026
2022-04-03 01,.028
2022-04-03 02,.027
2022-04-03 03,.027
2022-04-03 04,.026
2022-04-03 05,.022
2022-04-03 06,.022
2022-04-03 07,.031
2022-04-03 08,.032
2022-04-03 09,.031
2022-04-03 10,.025
2022-04-03 11,.019
2022-04-03 12,.022
2022-04-03 13,.02
2022-04-03 14,.014
2022-04-03 15,.011
2022-04-03 16,.01
2022-04-03 17,.01
2022-04-03 18,.013
2022-04-03 19,.017
2022-04-03 20,.02
2022-04-03 21,.021
2022-04-03 22,.023
2022-04-03 23,.023
2022-04-03 24,.03
2022-04-04 01,.032
2022-04-04 02,.028
2022-04-04 03,.028
2022-04-04 04,.029
2022-04-04 05,.028
2022-04-04 06,.028
2022-04-04 07,.03
2022-04-04 08,.034
2022-04-04 09,.052
2022-04-04 10,.054
2022-04-04 11,.034
2022-04-04 12,.027
2022-04-04 13,.029
2022-04-04 14,.025
2022-04-04 15,.021
2022-04-04 16,.02
2022-04-04 17,.019
2022-04-04 18,.02
2022-04-04 19,.021
2022-04-04 20,.026
2022-04-04 21,.028
2022-04-04 22,.026
2022-04-04 23,.028
2022-04-04 24,.033
2022-04-05 01,.04
2022-04-05 02,.039
2022-04-05 03,.038
2022-04-05 04,.024
2022-04-05 05,.031
2022-04-05 06,.048
2022-04-05 07,.039
2022-04-05 08,.058
2022-04-05 09,.054
2022-04-05 10,.056
2022-04-05 11,.043
2022-04-05 12,.028
2022-04-05 13,.024
2022-04-05 14,.018
2022-04-05 15,.021
2022-04-05 16,.02
2022-04-05 17,.019
2022-04-05 18,.018
2022-04-05 19,.021
2022-04-05 20,.025
2022-04-05 21,.025
2022-04-05 22,.026
2022-04-05 23,.028
2022-04-05 24,.025
2022-04-06 01,.024
2022-04-06 02,.02
2022-04-06 03,.02
2022-04-06 04,.011
2022-04-06 05,.016
2022-04-06 06,.019
2022-04-06 07,.021
2022-04-06 08,.028
2022-04-06 09,.028
2022-04-06 10,.023
2022-04-06 11,.023
2022-04-06 12,.023
2022-04-06 13,.019
2022-04-06 14,.018
2022-04-06 15,.016
2022-04-06 16,.017
2022-04-06 17,.016
2022-04-06 18,.017
2022-04-06 19,.021
2022-04-06 20,.023
2022-04-06 21,.023
2022-04-06 22,.022
2022-04-06 23,.036
2022-04-06 24,.04
2022-04-07 01,.026
2022-04-07 02,.016
2022-04-07 03,.01
2022-04-07 04,.008
2022-04-07 05,.011
2022-04-07 06,.013
2022-04-07 07,.019
2022-04-07 08,.031
2022-04-07 09,.027
2022-04-07 10,.024
2022-04-07 11,.018
2022-04-07 12,.016
2022-04-07 13,.013
2022-04-07 14,.011
2022-04-07 15,.013
2022-04-07 16,.015
2022-04-07 17,.013
2022-04-07 18,.013
2022-04-07 19,.015
2022-04-07 20,.017
2022-04-07 21,.017
2022-04-07 22,.018
2022-04-07 23,.017
2022-04-07 24,.017
2022-04-08 01,.017
2022-04-08 02,.018
2022-04-08 03,.021
2022-04-08 04,.017
2022-04-08 05,.023
2022-04-08 06,.029
2022-04-08 07,.034
2022-04-08 08,.043
2022-04-08 09,.044
2022-04-08 10,.037
2022-04-08 11,.031
2022-04-08 12,.033
2022-04-08 13,.029
2022-04-08 14,.023
2022-04-08 15,.018
2022-04-08 16,.018
2022-04-08 17,.018
2022-04-08 18,.021
2022-04-08 19,.022
2022-04-08 20,.025
2022-04-08 21,.023
2022-04-08 22,.033
2022-04-08 23,.031
2022-04-08 24,.031
2022-04-09 01,.046
2022-04-09 02,.057
2022-04-09 03,.051
2022-04-09 04,.03
2022-04-09 05,.033
2022-04-09 06,.032
2022-04-09 07,.042
2022-04-09 08,.049
2022-04-09 09,.044
2022-04-09 10,.045
2022-04-09 11,.014
2022-04-09 12,.015
2022-04-09 13,.008
2022-04-09 14,.01
2022-04-09 15,.01
2022-04-09 16,.01
2022-04-09 17,.01
2022-04-09 18,.008
2022-04-09 19,.009
2022-04-09 20,.011
2022-04-09 21,.014
2022-04-09 22,.013
2022-04-09 23,.016
2022-04-09 24,.018
2022-04-10 01,.013
2022-04-10 02,.016
2022-04-10 03,.022
2022-04-10 04,.026
2022-04-10 05,.027
2022-04-10 06,.023
2022-04-10 07,.027
2022-04-10 08,.035
2022-04-10 09,.031
2022-04-10 10,.021
2022-04-10 11,.019
2022-04-10 12,.013
2022-04-10 13,.009
2022-04-10 14,.009
2022-04-10 15,.009
2022-04-10 16,.009
2022-04-10 17,.012
2022-04-10 18,.012
2022-04-10 19,.013
2022-04-10 20,.014
2022-04-10 21,.015
2022-04-10 22,.019
2022-04-10 23,.021
2022-04-10 24,.027
2022-04-11 01,.029
2022-04-11 02,.027
2022-04-11 03,.025
2022-04-11 04,.029
2022-04-11 05,.028
2022-04-11 06,.026
2022-04-11 07,.034
2022-04-11 08,.035
2022-04-11 09,.039
2022-04-11 10,.039
2022-04-11 11,.026
2022-04-11 12,.018
2022-04-11 13,.016
2022-04-11 14,.015
2022-04-11 15,.014
2022-04-11 16,.015
2022-04-11 17,.014
2022-04-11 18,.016
2022-04-11 19,.015
2022-04-11 20,.021
2022-04-11 21,.026
2022-04-11 22,.031
2022-04-11 23,.022
2022-04-11 24,.014
2022-04-12 01,.012
2022-04-12 02,.009
2022-04-12 03,.008
2022-04-12 04,.009
2022-04-12 05,.011
2022-04-12 06,.012
2022-04-12 07,.017
2022-04-12 08,.015
2022-04-12 09,.015
2022-04-12 10,.015
2022-04-12 11,.011
2022-04-12 12,.012
2022-04-12 13,.011
2022-04-12 14,.011
2022-04-12 15,.012
2022-04-12 16,.013
2022-04-12 17,.017
2022-04-12 18,.022
2022-04-12 19,.022
2022-04-12 20,.02
2022-04-12 21,.021
2022-04-12 22,.014
2022-04-12 23,.017
2022-04-12 24,.014
2022-04-13 01,.012
2022-04-13 02,.01
2022-04-13 03,.009
2022-04-13 04,.014
2022-04-13 05,.014
2022-04-13 06,.011
